"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"1","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","0.000000","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"2","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","0.006980","Netgear_f4:87:ef","Broadcast","802.11","194","Beacon frame, SN=270, FN=0, Flags=........, BI=100, SSID=wi5-unizar-156","Frame is not being retransmitted","1","-75 dBm","2462 [BG 11]",""
"3","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","0.043612","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2376, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-15 dBm","2462 [BG 11]",""
"4","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","0.187539","54:a2:74:1d:55:f1","Broadcast","802.11","295","Beacon frame, SN=1945, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-79 dBm","2462 [BG 11]",""
"5","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","0.204573","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"6","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","0.211805","Netgear_f4:87:ef","Broadcast","802.11","194","Beacon frame, SN=272, FN=0, Flags=........, BI=100, SSID=wi5-unizar-156","Frame is not being retransmitted","1","-75 dBm","2462 [BG 11]",""
"7","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","0.239303","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2400, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-61 dBm","2462 [BG 11]",""
"8","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","0.248411","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2378, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-17 dBm","2462 [BG 11]",""
"9","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","0.396429","54:a2:74:1d:55:f1","Broadcast","802.11","295","Beacon frame, SN=1949, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-81 dBm","2462 [BG 11]",""
"10","","","00:c0:ca:90:79:29","00:c0:ca:90:79:3e","","0.403817","Alfa_90:79:29 (TA)","Alfa_90:79:3e (RA)","802.11","46","802.11 Block Ack, Flags=........","Frame is not being retransmitted","6","-23 dBm","2462 [BG 11]",""
"11","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","0.409712","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-69 dBm","2462 [BG 11]",""
"12","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","0.444119","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2402, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-63 dBm","2462 [BG 11]",""
"13","00:c0:ca:90:79:28","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:28","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:28","0.454943","Alfa_90:79:28","Broadcast","802.11","187","Beacon frame, SN=372, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-25 dBm","2462 [BG 11]",""
"14","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","0.490238","84:16:f9:16:61:ee","Broadcast","802.11","183","Beacon frame, SN=3211, FN=0, Flags=........, BI=100, SSID=wi5-aux-155","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"15","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","0.500883","54:a2:74:1d:55:f1","Broadcast","802.11","295","Beacon frame, SN=1951, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-81 dBm","2462 [BG 11]",""
"16","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","0.512008","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
